Caller,Caller_sym,Callee,Callee_sym,DAT,STMP,CON,EXT,COM,CONT 
CClassView,OnChangeVisualStyle,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CClassView,OnContextMenu,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CClassView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CClassView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderLeft_end,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderLeft_end,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderLeft_start,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderRight_end,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderRight_end,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_EncoderRight_start,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_IR,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_IR,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_PSD,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_PSD,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_SensorsNew,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_SensorsNew,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_Tilt,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_Tilt,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraFrontLeft,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraFrontLeft,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraFrontRight,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraFrontRight,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraRear,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,GetRoboCAR_UltraRear,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_Buzzer,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
